Source Name	Sample Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[Host Organism]	Term Source REF	Term Accession Number	Characteristics[Host Strain]	Characteristics[Sample Location]	Factor Value[Organism Part]	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Characteristics[Seed Source]	Protocol REF	Parameter Value[Growth Time]	Unit	Term Source REF	Term Accession Number	Parameter Value[Mean Growth Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Growth Medium]	Parameter Value[Quantity of growth medium]	Unit	Term Source REF	Term Accession Number	Parameter Value[Hardware]	Parameter Value[container]	Parameter Value[light source]	Term Source REF	Term Accession Number	Parameter Value[Light Cycle]	Unit	Term Source REF	Term Accession Number	Parameter Value[Light Intensity]	Unit	Term Source REF	Term Accession Number	Parameter Value[growth environment]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Sample Preservation Method]	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Age of sample at harvest]	Unit	Term Source REF	Term Accession Number	Parameter Value[Developmental stage at time of sample collection]
VEG03D_Swab_5_S30_L001	VEG03D_Swab_5_S30_L001	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Not Applicable	Middle bellows	Swab	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17627	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnny's Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and  time-release fertilizer (Nutricote Florikan ESA, 18-6-8, type 100)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80.0	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59.0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03D_Swab_6_S31_L001	VEG03D_Swab_6_S31_L001	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Not Applicable	Lower portion of bellows	Swab	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17627	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnny's Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and  time-release fertilizer (Nutricote Florikan ESA, 18-6-8, type 100)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80.0	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59.0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03D_Swab_7_S32_L001	VEG03D_Swab_7_S32_L001	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Not Applicable	Internal fan screen	Swab	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17627	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnny's Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and  time-release fertilizer (Nutricote Florikan ESA, 18-6-8, type 100)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80.0	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59.0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03D_Swab_8_S33_L001	VEG03D_Swab_8_S33_L001	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Not Applicable	Fan outlet vent port	Swab	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17627	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnny's Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and  time-release fertilizer (Nutricote Florikan ESA, 18-6-8, type 100)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80.0	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59.0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03D_WG_P5soilR1_S1_L001	VEG03D_WG_P5soilR1_S1_L001	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Waldmann's Green	media	media	EFO	http://www.ebi.ac.uk/efo/EFO_0000579	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnny's Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and  time-release fertilizer (Nutricote Florikan ESA, 18-6-8, type 100)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80.0	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59.0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03D_WG_Plant_Flt1E_05_S19_L001	VEG03D_WG_Plant_Flt1E_05_S19_L001	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Waldmann's Green	leaf	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnny's Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and  time-release fertilizer (Nutricote Florikan ESA, 18-6-8, type 100)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80.0	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59.0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03D_WG_P5soilR2_S2_L001	VEG03D_WG_P5soilR2_S2_L001	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Waldmann's Green	media	media	EFO	http://www.ebi.ac.uk/efo/EFO_0000579	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnny's Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and  time-release fertilizer (Nutricote Florikan ESA, 18-6-8, type 100)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80.0	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59.0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03D_WG_Plant_Flt2E_05_S20_L001	VEG03D_WG_Plant_Flt2E_05_S20_L001	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Waldmann's Green	leaf	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnny's Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and  time-release fertilizer (Nutricote Florikan ESA, 18-6-8, type 100)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80.0	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59.0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03D_WG_Plant_Flt1F_18_S21_L001	VEG03D_WG_Plant_Flt1F_18_S21_L001	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Waldmann's Green	leaf	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnny's Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and  time-release fertilizer (Nutricote Florikan ESA, 18-6-8, type 100)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80.0	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59.0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03D_WG_Plant_Flt2F_18_S22_L001	VEG03D_WG_Plant_Flt2F_18_S22_L001	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Waldmann's Green	leaf	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnny's Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and  time-release fertilizer (Nutricote Florikan ESA, 18-6-8, type 100)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80.0	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59.0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03D_WG_P5soilR3_S3_L001	VEG03D_WG_P5soilR3_S3_L001	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Waldmann's Green	media	media	EFO	http://www.ebi.ac.uk/efo/EFO_0000579	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnny's Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and  time-release fertilizer (Nutricote Florikan ESA, 18-6-8, type 100)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80.0	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59.0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03D_WG_P5Root_S4_L001	VEG03D_WG_P5Root_S4_L001	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Waldmann's Green	root	root	PO	http://purl.obolibrary.org/obo/PO_0009005	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnny's Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and  time-release fertilizer (Nutricote Florikan ESA, 18-6-8, type 100)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80.0	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59.0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03D_WG_P5Wick_S5_L001	VEG03D_WG_P5Wick_S5_L001	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Waldmann's Green	wick	wick	OSD	https://osdr.nasa.gov/	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnny's Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and  time-release fertilizer (Nutricote Florikan ESA, 18-6-8, type 100)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80.0	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59.0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
