Sample Name	Protocol REF	Parameter Value[Camera Make And Model]	Parameter Value[Focal Length Of Photo]	Unit	Term Source REF	Term Accession Number	Parameter Value[Focal Plane X Resolution]	Unit	Term Source REF	Term Accession Number	Parameter Value[Focal Plane Y Resolution]	Unit	Term Source REF	Term Accession Number	Parameter Value[Date Of Photo Taken]	Image File Dimensions Height Y	Unit	Term Source REF	Term Accession Number	Image File Dimensions Width X	Unit	Term Source REF	Term Accession Number	Raw Data File
A2R1	Image Analysis 1	iPhone SE (2nd generation)	28	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	3/4/2021 0:32	4032	pixel	OSD	https://osdr.nasa.gov/	3024	pixel			LSDS-73_morphometric-photography_ExpA_B2_Radish.jpg
A2R2	Image Analysis 1	iPhone SE (2nd generation)	28	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	3/4/2021 0:32	4032	pixel	OSD	https://osdr.nasa.gov/	3024	pixel			LSDS-73_morphometric-photography_ExpA_B2_Radish.jpg
A2R3	Image Analysis 1	iPhone SE (2nd generation)	28	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	3/4/2021 0:32	4032	pixel	OSD	https://osdr.nasa.gov/	3024	pixel			LSDS-73_morphometric-photography_ExpA_B2_Radish.jpg
A2R6	Image Analysis 1	iPhone SE (2nd generation)	28	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	3/4/2021 0:32	4032	pixel	OSD	https://osdr.nasa.gov/	3024	pixel			LSDS-73_morphometric-photography_ExpA_B2_Radish.jpg
A3L1	Image Analysis 1	iPhone SE (2nd generation)	28	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	3/4/2021 2:52	4032	pixel	OSD	https://osdr.nasa.gov/	3024	pixel			LSDS-73_morphometric-photography_ExpA_B3_Lettuce.jpg
A3L2	Image Analysis 1	iPhone SE (2nd generation)	28	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	3/4/2021 2:52	4032	pixel	OSD	https://osdr.nasa.gov/	3024	pixel			LSDS-73_morphometric-photography_ExpA_B3_Lettuce.jpg
A3L4	Image Analysis 1	iPhone SE (2nd generation)	28	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	3/4/2021 2:52	4032	pixel	OSD	https://osdr.nasa.gov/	3024	pixel			LSDS-73_morphometric-photography_ExpA_B3_Lettuce.jpg
A3P2	Image Analysis 1	iPhone SE (2nd generation)	28	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	3/4/2021 3:26	4032	pixel	OSD	https://osdr.nasa.gov/	3024	pixel			LSDS-73_morphometric-photography_ExpA_B3_Pepper.jpg
A3P3	Image Analysis 1	iPhone SE (2nd generation)	28	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	3/4/2021 3:26	4032	pixel	OSD	https://osdr.nasa.gov/	3024	pixel			LSDS-73_morphometric-photography_ExpA_B3_Pepper.jpg
A3P4	Image Analysis 1	iPhone SE (2nd generation)	28	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	3/4/2021 3:26	4032	pixel	OSD	https://osdr.nasa.gov/	3024	pixel			LSDS-73_morphometric-photography_ExpA_B3_Pepper.jpg
A3P6	Image Analysis 1	iPhone SE (2nd generation)	28	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	3/4/2021 3:26	4032	pixel	OSD	https://osdr.nasa.gov/	3024	pixel			LSDS-73_morphometric-photography_ExpA_B3_Pepper.jpg
A3R1	Image Analysis 1	iPhone SE (2nd generation)	28	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	3/4/2021 3:11	4032	pixel	OSD	https://osdr.nasa.gov/	3024	pixel			LSDS-73_morphometric-photography_ExpA_B3_Radish.jpg
A3R2	Image Analysis 1	iPhone SE (2nd generation)	28	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	3/4/2021 3:11	4032	pixel	OSD	https://osdr.nasa.gov/	3024	pixel			LSDS-73_morphometric-photography_ExpA_B3_Radish.jpg
A3R3	Image Analysis 1	iPhone SE (2nd generation)	28	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	3/4/2021 3:11	4032	pixel	OSD	https://osdr.nasa.gov/	3024	pixel			LSDS-73_morphometric-photography_ExpA_B3_Radish.jpg
A3R6	Image Analysis 1	iPhone SE (2nd generation)	28	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	3/4/2021 3:11	4032	pixel	OSD	https://osdr.nasa.gov/	3024	pixel			LSDS-73_morphometric-photography_ExpA_B3_Radish.jpg
